Sequence,Speaker,Position,Towards,Content,Audio,Shake,Fade,Choice,ChoiceInfluence
1,1,1,2,东汉末年，皇帝昏聩无能，宦官专权，朝廷腐败。百姓苦不堪言，进而爆发了大型农民起义——黄巾起义。乱世之中，一代枭雄与英雄人物竞相涌现。,0,0,0,0,0
2,2,2,1,大将军何进在与十常侍的斗争中被杀，袁绍和曹操领众臣以平“十常侍之乱”为名冲入皇宫，剿杀宦官。,0,0,0,0,0
3,3,2,1,在保护汉少帝的过程中，西凉刺史董卓引兵入关随即掌控朝中大权，废汉少帝，立陈留王刘协为汉献帝。,0,0,0,0,0
4,1,1,2,生性残暴的董卓倒行逆施，引发多方愤然。曹操假借圣旨之名，召集十八路诸侯联合讨伐董卓。虎牢关前，志在匡扶汉室的的刘备、关羽、张飞三兄弟大战吕布。讨董盟军声威浩大，迫使董卓挟汉献帝逃至长安，最终被司徒王允设连环计除掉。,0,0,0,0,0
5,2,2,1,十八路诸侯各怀异心，联盟开始分崩离析。,0,0,0,0,0
6,2,2,1,袁绍欲谋取长沙太守孙坚手中的传国玉玺，联合刘表将孙坚杀死。,0,0,0,0,0
7,1,1,2,同时，袁绍在界桥之战中击败公孙瓒，成为北方最强势力。此时的曹操也广招贤才，积聚实力。此时，群雄逐鹿的雏形初成。,0,0,0,0,0
8,1,1,2,董卓死后，曹操“挟天子以令诸侯”，迎汉献帝于许昌建都，并运用军事和政治手段相继除去了吕布、袁术、张绣等人，展现了非凡的治国才能。,0,0,0,0,0
9,1,1,2,然而汉献帝不甘于被曹操胁迫，秘密联合董承、刘备等大臣意欲除掉曹操，却因事情泄露反遭其害，致使董承等人被杀。,0,0,0,0,0
10,1,1,2,刘备侥幸逃脱，前往河北依附袁绍，与关羽张飞兄弟分离。,0,0,0,0,0
